,corr,names,name,corrnames
1,"2868,2139,2038,353,135","Fright Night Part II (1989);;Secret of NIMH, The (1982);;Cat from Outer Space, The (1978);;Crow, The (1994);;Down Periscope (1996)",Toy Story (1995),"Fright Night Part II (1989);;Secret of NIMH, The (1982);;Cat from Outer Space, The (1978);;Crow, The (1994);;Down Periscope (1996)"
2,"1681,307,627,268,1850","Mortal Kombat: Annihilation (1997);;Three Colors: Blue (1993);;Last Supper, The (1995);;Little Odessa (1994);;I Love You, Don't Touch Me! (1998)",Jumanji (1995),"Mortal Kombat: Annihilation (1997);;Three Colors: Blue (1993);;Last Supper, The (1995);;Little Odessa (1994);;I Love You, Don't Touch Me! (1998)"
3,"3185,767,500,5,264","Snow Falling on Cedars (1999);;Grass Harp, The (1995);;Mrs. Doubtfire (1993);;Father of the Bride Part II (1995);;Enfer, L' (1994)",Grumpier Old Men (1995),"Snow Falling on Cedars (1999);;Grass Harp, The (1995);;Mrs. Doubtfire (1993);;Father of the Bride Part II (1995);;Enfer, L' (1994)"
4,"296,475,1357,370,190",Pulp Fiction (1994);;In the Name of the Father (1993);;Shine (1996);;Naked Gun 33 1/3: The Final Insult (1994);;Safe (1995),Waiting to Exhale (1995),Pulp Fiction (1994);;In the Name of the Father (1993);;Shine (1996);;Naked Gun 33 1/3: The Final Insult (1994);;Safe (1995)
5,"344,2994,2715,1328,767","Ace Ventura: Pet Detective (1994);;City, The (1998);;Velocity of Gary, The (1998);;Amityville Curse, The (1990);;Grass Harp, The (1995)",Father of the Bride Part II (1995),"Ace Ventura: Pet Detective (1994);;City, The (1998);;Velocity of Gary, The (1998);;Amityville Curse, The (1990);;Grass Harp, The (1995)"
6,"477,539,2018,2063,1711",What's Love Got to Do with It? (1993);;Sleepless in Seattle (1993);;Bambi (1942);;Seventh Heaven (Le Septième ciel) (1997);;Midnight in the Garden of Good and Evil (1997),Heat (1995),What's Love Got to Do with It? (1993);;Sleepless in Seattle (1993);;Bambi (1942);;Seventh Heaven (Le Septième ciel) (1997);;Midnight in the Garden of Good and Evil (1997)
7,"328,523,280,2208,2441","Tales From the Crypt Presents: Demon Knight (1995);;Ruby in Paradise (1993);;Murder in the First (1995);;Lady Vanishes, The (1938);;Hi-Lo Country, The (1998)",Sabrina (1995),"Tales From the Crypt Presents: Demon Knight (1995);;Ruby in Paradise (1993);;Murder in the First (1995);;Lady Vanishes, The (1938);;Hi-Lo Country, The (1998)"
8,"1855,2610,53,1444,936",Krippendorf's Tribe (1998);;Three Seasons (1999);;Lamerica (1994);;Guantanamera (1994);;Ninotchka (1939),Tom and Huck (1995),Krippendorf's Tribe (1998);;Three Seasons (1999);;Lamerica (1994);;Guantanamera (1994);;Ninotchka (1939)
9,"199,925,1669,20,349","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Golden Earrings (1947);;Tango Lesson, The (1997);;Money Train (1995);;Clear and Present Danger (1994)",Sudden Death (1995),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Golden Earrings (1947);;Tango Lesson, The (1997);;Money Train (1995);;Clear and Present Danger (1994)"
10,"1558,2836,3364,2747,2748","Sudden Manhattan (1996);;Outside Providence (1999);;Asphalt Jungle, The (1950);;Little Shop of Horrors, The (1960);;Allan Quartermain and the Lost City of Gold (1987)",GoldenEye (1995),"Sudden Manhattan (1996);;Outside Providence (1999);;Asphalt Jungle, The (1950);;Little Shop of Horrors, The (1960);;Allan Quartermain and the Lost City of Gold (1987)"
11,"424,2441,328,671,523","Blue Chips (1994);;Hi-Lo Country, The (1998);;Tales From the Crypt Presents: Demon Knight (1995);;Mystery Science Theater 3000: The Movie (1996);;Ruby in Paradise (1993)","American President, The (1995)","Blue Chips (1994);;Hi-Lo Country, The (1998);;Tales From the Crypt Presents: Demon Knight (1995);;Mystery Science Theater 3000: The Movie (1996);;Ruby in Paradise (1993)"
12,"2520,2134,2249,2296,2787","Airport (1970);;Weird Science (1985);;My Blue Heaven (1990);;Night at the Roxbury, A (1998);;Cat's Eye (1985)",Dracula: Dead and Loving It (1995),"Airport (1970);;Weird Science (1985);;My Blue Heaven (1990);;Night at the Roxbury, A (1998);;Cat's Eye (1985)"
13,"1887,1888,1921,672,1718",Almost Heroes (1998);;Hope Floats (1998);;Pi (1998);;Tarantella (1995);;Stranger in the House (1997),Balto (1995),Almost Heroes (1998);;Hope Floats (1998);;Pi (1998);;Tarantella (1995);;Stranger in the House (1997)
14,"291,621,1408,2277,360","Poison Ivy II (1995);;My Favorite Season (1993);;Last of the Mohicans, The (1992);;Somewhere in the City (1997);;I Love Trouble (1994)",Nixon (1995),"Poison Ivy II (1995);;My Favorite Season (1993);;Last of the Mohicans, The (1992);;Somewhere in the City (1997);;I Love Trouble (1994)"
15,"528,349,532,305,199","Scout, The (1994);;Clear and Present Danger (1994);;Serial Mom (1994);;Ready to Wear (Pret-A-Porter) (1994);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Cutthroat Island (1995),"Scout, The (1994);;Clear and Present Danger (1994);;Serial Mom (1994);;Ready to Wear (Pret-A-Porter) (1994);;Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
16,"412,415,1340,1229,2018","Age of Innocence, The (1993);;Another Stakeout (1993);;Bride of Frankenstein (1935);;Bambi (1942)",Casino (1995),"Age of Innocence, The (1993);;Another Stakeout (1993);;Bride of Frankenstein (1935);;Bambi (1942)"
17,"775,28,1188,1489,1169",Spirits of the Dead (Tre Passi nel Delirio) (1968);;Persuasion (1995);;Strictly Ballroom (1992);;Cats Don't Dance (1997);;American Dream (1990),Sense and Sensibility (1995),Spirits of the Dead (Tre Passi nel Delirio) (1968);;Persuasion (1995);;Strictly Ballroom (1992);;Cats Don't Dance (1997);;American Dream (1990)
18,"466,3455,2058,600,2961","Hot Shots! Part Deux (1993);;Buddy Boy (1999);;Negotiator, The (1998);;Love and a .45 (1994);;Story of Us, The (1999)",Four Rooms (1995),"Hot Shots! Part Deux (1993);;Buddy Boy (1999);;Negotiator, The (1998);;Love and a .45 (1994);;Story of Us, The (1999)"
19,"733,333,225,681,770","Rock, The (1996);;Tommy Boy (1995);;Disclosure (1994);;Clean Slate (Coup de Torchon) (1981);;Costa Brava (1946)",Ace Ventura: When Nature Calls (1995),"Rock, The (1996);;Tommy Boy (1995);;Disclosure (1994);;Clean Slate (Coup de Torchon) (1981);;Costa Brava (1946)"
