UserID,pref
1,"514,1849,1105,1179,2899,582,859,964,575,2600,1026,2163,355,2558,1782,958,1901,971,1575,2587,145,581,3178,965,2593,1619,1898,2711"
2,"107,310,580,1105,347,1136,467,1107,444,1849,2375,3342,1619,1118,577,1479,576,2204,1156,2652,1564,145,1782,1168,2932,1775,254,1121,371,3239"
3,"1108,254,1109,1060,1107,2652,1121,1200,1296,1168,1213,467,3430,3190,577,1008,1175,1009,909,2163,540,1187,2587,1789,2776,1144,1112,2711,1935,2214"
4,"1109,1849,1289,254,1125,1149,467,1775,972,1026,2740,1200,1213,3187,1112,2489,1117,1774,1479,2375,3461,803,1130,2742,2744,2335,3462,1156,576"
5,"2786,2375,594,2203,2652,2749,580,2401,1018,2489,1450,1124,2496,2776,2702,2945,217,853,1585,2100,157,240,1399,2899,2144,852"
6,"971,3342,964,2204,1768,854,3511,582,355,1282,3178,1901,584,860,839,859,1017,575,1575,2214,574,2470,1213,39,526,2369,1900"
7,"107,444,576,2375,1849,1479,2709,467,700,1450,371,3033,340,1272,1446,1107,2161,461,368,1477,254,1121,3511,972,628,1878,1407,160,803,10"
8,"107,576,2652,2375,467,594,1849,1124,1564,514,2204,1575,2100,1174,1537,145,444,3187,1295,2489,848,1479,310,1546,2132,285,1149"
9,"580,1849,514,310,2375,2132,1564,2899,1067,2558,2932,709,1174,145,1486,1454,2652,444,1124,1575,577,1744,1619,594,1018,2749,1134"
10,"1174,1109,1450,1179,964,2204,1067,1026,1004,1454,254,526,2558,2593,3239,347,1149,1108,528,859,709,1900,1619,1981,1191,1187"
11,"594,310,2652,2558,1108,347,580,2749,2600,1744,1564,2786,2711,1060,1261,2932,1296,1018,1619,288,2587,102,1585,2496,285,1105,467"
12,"803,580,1132,859,1109,2600,1105,863,108,852,1200,1840,1060,1004,310,1118,1124,3652,254,1136,2014,1179,594,1139,844,50,1773,860,1575,1185"
13,"254,1109,2375,1107,580,514,576,467,1026,1121,107,1450,310,577,1849,1108,1200,288,859,1115,1168,738,1149,1278,1171,1276,1274,320"
14,"2558,2786,288,2204,3342,2702,2489,3249,1136,2401,1119,2427,2483,1085,1181,1172,528,2508,2144,2132,1781,358,1151,1110,1179,1197,3652,2122,1171"
15,"107,3342,3511,310,2558,254,580,2652,444,2375,514,2932,1107,1849,347,1121,1105,2204,2502,1479,2079,3322,2559,1124,1564,2709,3278"
16,"2163,2899,2481,2959,2776,2512,2144,853,1446,2502,2557,1,2202,1051,217,2566,368,1399,3509,738,1450,2204,1108,1289,2376,1780,2945,575,1728,2384"
17,"528,576,1486,310,347,2959,864,1849,2558,254,1111,2709,580,1174,1149,1121,2652,1107,3342,1125,288,3239,1162,2456,1595,2335,1517"
18,"1026,1108,1121,514,582,1107,107,1109,355,575,1191,964,1981,2163,1486,958,254,859,2013,2652,581,576,1151,1168,1901"
19,"2652,2558,1167,1821,1450,1105,2512,580,1107,2749,1179,1289,310,2132,1174,2899,1109,972,1187,1818,1276,2489,1130,1822,1121,2163,2481,2776"
20,"2375,107,3342,1486,1849,2652,576,3511,3551,1407,444,1744,2709,50,1111,1149,1479,2932,3178,1733,700,32,1446,1450,1179,1307,3461,3322,528"
21,"1121,2496,1107,2427,3551,2456,1399,444,2481,1454,2945,576,1023,217,1111,848,1126,2749,2820,3504,1304,1619,1840,2519,1112,1131,427,2959,514,1486"
22,"2652,594,310,2132,3342,1109,2786,1149,576,2558,107,217,1296,1174,1179,2512,1051,1060,1585,1133,2709,2587,2203,1126,1537"
23,"288,1174,254,803,2786,576,1107,1149,467,2709,1132,1450,2489,528,2558,2959,2652,972,2758,594,2774,2375,1276,1821,1540,1051,371,3239"
24,"803,1849,1216,852,594,1105,514,288,1109,1124,859,1789,580,1132,254,2711,2512,1108,310,1261,1004,1168,860,2587,2776,1107,2652,2204"
25,"254,1107,1121,1109,1179,1849,2427,3342,2512,1276,1259,1278,1200,217,467,1274,2776,2899,3511,1446,3551,1832,1833,320,2132,1450,738,1277,2489,444"
26,"347,1564,2652,1030,1216,1295,2401,1168,2160,3133,310,2711,2129,1296,1789,584,3310,1108,2886,1407,1156,1174,1782,2079,1155,1211,1124"
27,"2652,853,2786,852,254,1161,848,863,1109,3204,850,1060,803,1486,714,1176,844,1115,862,1157,1296,1193,310,838,870,2006,1118,891,843"
28,"1108,514,1109,2204,1107,1121,1125,254,852,1140,310,1060,1789,2711,2652,1174,1156,1111,859,2401,594,2558,1289,2059,1194,1216"
29,"1109,107,254,803,310,1125,1289,1149,972,1111,1213,2740,576,1775,2335,467,1136,1132,2737,1171,3295,3461,1115,1131,1774,1107,1143"
30,"514,580,1026,310,2652,1486,2375,2558,1849,2786,1174,576,47,444,1564,3239,259,1149,1151,2593,347,1385,1018,285,1124,1450,2795,288,1095"
31,"1174,1108,347,1144,1179,1450,467,1213,1821,850,1178,1168,1216,2512,2711,3430,2593,3190,1187,3135,838,1203,873,1131,1822,845,895,891,1060,348"
32,"580,2558,594,2652,2749,2932,1261,1067,709,1493,576,1119,444,972,1841,285,2886,310,1134,3551,2831,1158,860,1136,1019,107,3509"
33,"1105,1121,1109,254,444,580,803,1132,1168,1261,310,467,1289,1107,848,1124,1167,844,1479,108,2740,859,1149,1111,1782,1821"
34,"2600,347,2204,1168,2711,2652,1789,1216,310,1108,1026,2587,1619,2132,2059,584,1179,2512,1821,859,1295,1964,1107,526,1296,1505,2593"
35,"1060,1108,2652,852,2204,859,1156,594,1840,1140,1009,909,3430,1112,254,2375,1118,1175,839,860,288,848,1109,1033,1187,844,2109,108,1564"
36,"2899,580,2375,347,444,1121,1107,1111,972,2587,514,2776,1149,1479,2558,1019,1216,576,2481,2163,3342,288,594,467,2512,1008"
37,"1108,1216,2204,347,2587,852,584,1282,1768,860,526,839,2470,1156,1017,854,1030,348,574,971,1901,2232,11,2059,1442,1095,330,1174,1295,427"
38,"2204,2132,1216,1575,347,526,584,1564,348,1295,2899,2470,574,1095,1442,1282,1901,1446,2232,1619,2163,575,368,1505,11,1017,355"
39,"2786,3342,2652,2204,310,2203,217,1105,2749,2401,2899,2512,2489,1486,2163,2945,3509,2496,2309,3551,2144,2384,3249,1585,1,853,50,1051,2776,2506"
40,"1109,852,1200,859,1115,909,1171,1159,1004,347,1108,2776,1935,860,1181,577,1143,1163,714,1887,1119,2214,853,2737,1994,1276,1981,1172,839"
41,"1121,254,1107,2558,2427,1575,2506,2960,17,2932,2959,859,584,2203,3384,526,577,860,467,1730,1295,1259,34,1200,1887,854,575,714,355,1780"
42,"254,1111,1121,1149,1107,1125,580,528,1276,3239,1454,1179,1109,1174,2427,1051,864,2335,1026,467,347,3295,1278,1925,2439,576,1289,2959,1479,1259"
43,"2558,2786,2204,1108,347,2899,2652,2163,2401,1216,1,2502,2512,3310,2960,3384,3551,1744,1140,2702,2959,852,2309,1901,2132,3178,526,2749,2776,1095"
44,"254,1121,1179,1067,1109,580,1107,2375,2204,514,709,2558,1108,859,1026,1191,1200,1134,581,2776,1144,1149,1060,1174,2427,2512,3239,3509,576,1900"
45,"1179,1174,2959,427,2512,2593,584,254,1216,1832,856,850,1833,839,1178,2215,1282,3511,1920,2470,574,855,1213,2232"
46,"1790,2506,1797,1793,1792,1791,1794,1306,1798,1807,1799,832,1508,1250,1796,1806,1571,1800,1801,597,1804,1795,3050,1802,1813,1812,1231,69,357,2146"
47,"514,803,310,1132,1105,1124,2600,860,1119,1261,1156,259,108,842,1564,977,2858,3134,1118,1085,1023,1773,1117,2932,3135,57,3272"
48,"254,1849,1121,2375,467,1107,2899,347,1109,852,859,1026,1179,803,310,738,2204,288,2558,3239,576,1156,3511,3342,2652"
49,"514,576,1849,467,444,2899,803,2709,972,1132,575,1107,2163,582,1105,2652,355,1149,1479,1121,1125,254,1111,1486,1161,1272,368,2489"
50,"2652,2587,848,1980,1168,3249,2741,1156,971,1537,11,2740,1158,107,1117,3342,860,1159,1179,1140,1112,852,1095,3461,1237,3430,526,36,1486,1501"
51,"2899,310,1174,2204,2163,3652,2401,3509,1744,3249,575,2489,355,2959,582,347,2502,2456,1575,2600,3032,3551,1564,2384,2111,1216,288"
52,"2652,107,1849,576,444,1446,2709,2502,514,580,700,1479,461,1272,1477,2161,3033,217,371,340,2375,3511,2559,972,160,1878,2892"
53,"2776,1167,1849,1004,2749,2204,3239,444,863,859,528,1564,2512,2489,908,1107,1191,1018,803,288,254,1818,1105,2758,844,2144"
54,"1105,1060,1187,2587,3430,1140,3190,1144,1213,1008,1203,1009,3135,254,2109,3272,850,1145,1296,2584,1185,1201,2858,1178,1197,1006,3133,3275,2824"
55,"514,310,2558,107,347,576,580,2899,1564,444,1,2932,1849,852,145,1479,467,2163,2375,972,860,848,1546,1261,1619,2308,1149,1272,2557,2496"
56,"2652,2899,1486,1849,594,1124,2163,288,1018,107,2204,310,355,2558,575,582,1261,1505,444,2129,1385,145,1744,2502"
57,"2652,2600,2945,1296,3342,1109,2203,3509,1107,3652,1110,1537,1111,1168,803,1019,1200,3249,32,1124,2587,848,2401,2758,1197,1139,528,3092,3665,1167"
58,"2786,528,714,1133,1105,580,1111,2204,864,1110,2749,1117,2558,1296,2375,1849,3342,2335,2132,514,1167,1119,3295,2587,3462"
59,"852,859,860,909,853,839,1768,854,1156,848,971,2786,863,2204,1213,844,714,893,1118,594,1159,838,964,1887,1136,864,1191,1105,843,850"
60,"2204,347,2427,2959,703,2899,2163,1421,1738,2932,853,2786,2416,3384,1429,1697,1121,738,467,285,2600,1477,34,3509,3513,1156,1849,3551,576"
61,"3342,1575,3652,3178,2600,3249,3278,3670,3509,3322,3551,3702,3665,107,3385,3092,584,1295,738,3513,3648,3384,2079,1111,2401,1004,2774,2496,1170"
62,"2652,803,852,853,1136,1132,1156,528,1124,2558,1118,850,844,863,1013,1216,1105,1782,1165,2880,1168,893,838,1766,862,1178,2160"
63,"2652,2945,2401,2496,3342,2203,217,2512,2899,528,2558,714,2204,1537,2489,2508,2776,2702,864,2960,2144,3509,2384,2795,1156,2141,908,2163,1,2566"
